Table
S0101
S0601
S0701
S0801
S0802
S1002
S1101
S1201
S1301
S1401
S1501
S1502
S1601
S1602
S1603
S1701
S1702
S1810
S1901
S1902
S1903
S2001
S2101
S2201
S2301
S2302
S2303
S2401
S2402
S2403
S2404
S2405
S2406
S2407
S2408
S2409
S2411
S2412
S2413
S2414
S2418
S2419
S2501
S2502
S2503
S2504
S2506
S2507
S2701
S2703
S2704
