Table,ID,Null Values,type,,,,
S1401,S1401_C03_019E,6916,int,,,,
S1401,S1401_C03_019M,6916,int,,,,
S1401,S1401_C03_021E,6916,int,,,,
S1401,S1401_C03_021M,6916,int,,,,
S1401,S1401_C03_023E,6916,int,,,,
S1401,S1401_C03_023M,6916,int,,,,
S1401,S1401_C03_025E,6916,int,,,,
S1401,S1401_C03_025M,6916,int,,,,
S1401,S1401_C03_027E,6916,int,,,,
S1401,S1401_C03_027M,6916,int,,,,
S1401,S1401_C03_029E,6916,int,,,,
S1401,S1401_C03_029M,6916,int,,,,
S1401,S1401_C03_031E,6916,int,,,,
S1401,S1401_C03_031M,6916,int,,,,
S1401,S1401_C03_033E,6916,int,,,,
S1401,S1401_C03_033M,6916,int,,,,
S1401,S1401_C05_001E,6916,int,,,,
S1401,S1401_C05_001M,6916,int,,,,
S1401,S1401_C05_013E,6916,int,,,,
S1401,S1401_C05_013M,6916,int,,,,
S1401,S1401_C05_015E,6916,int,,,,
S1401,S1401_C05_015M,6916,int,,,,
S1401,S1401_C05_017E,6916,int,,,,
S1401,S1401_C05_017M,6916,int,,,,
S1401,S1401_C05_019E,6916,int,,,,
S1401,S1401_C05_019M,6916,int,,,,
S1401,S1401_C05_021E,6916,int,,,,
S1401,S1401_C05_021M,6916,int,,,,
S1401,S1401_C05_023E,6916,int,,,,
S1401,S1401_C05_023M,6916,int,,,,
S1401,S1401_C05_025E,6916,int,,,,
S1401,S1401_C05_025M,6916,int,,,,
S1401,S1401_C05_027E,6916,int,,,,
S1401,S1401_C05_027M,6916,int,,,,
S1401,S1401_C05_029E,6916,int,,,,
S1401,S1401_C05_029M,6916,int,,,,
S1401,S1401_C05_031E,6916,int,,,,
S1401,S1401_C05_031M,6916,int,,,,
S1401,S1401_C05_033E,6916,int,,,,
S1401,S1401_C05_033M,6916,int,,,,
S1501,S1501_C01_055E,6916,int,,,,
S1501,S1501_C01_055M,6916,int,,,,
S1501,S1501_C01_056E,6916,int,,,,
S1501,S1501_C01_056M,6916,int,,,,
S1501,S1501_C01_057E,6916,int,,,,
S1501,S1501_C01_057M,6916,int,,,,
S1501,S1501_C01_058E,6916,int,,,,
S1501,S1501_C01_058M,6916,int,,,,
S1501,S1501_C03_055E,6916,int,,,,
S1501,S1501_C03_055M,6916,int,,,,
S1501,S1501_C03_056E,6916,int,,,,
S1501,S1501_C03_056M,6916,int,,,,
S1501,S1501_C03_057E,6916,int,,,,
S1501,S1501_C03_057M,6916,int,,,,
S1501,S1501_C03_058E,6916,int,,,,
S1501,S1501_C03_058M,6916,int,,,,
S1501,S1501_C05_055E,6916,int,,,,
S1501,S1501_C05_055M,6916,int,,,,
S1501,S1501_C05_056E,6916,int,,,,
S1501,S1501_C05_056M,6916,int,,,,
S1501,S1501_C05_057E,6916,int,,,,
S1501,S1501_C05_057M,6916,int,,,,
S1501,S1501_C05_058E,6916,int,,,,
S1501,S1501_C05_058M,6916,int,,,,
S1601,S1601_C03_002E,6916,int,,,,
S1601,S1601_C03_002M,6916,int,,,,
S1601,S1601_C03_021E,6916,int,,,,
S1601,S1601_C03_021M,6916,int,,,,
S1601,S1601_C04_002E,6916,int,,,,
S1601,S1601_C04_002M,6916,int,,,,
S1601,S1601_C04_021E,6916,int,,,,
S1601,S1601_C04_021M,6916,int,,,,
S1601,S1601_C05_002E,6916,int,,,,
S1601,S1601_C05_002M,6916,int,,,,
S1601,S1601_C05_021E,6916,int,,,,
S1601,S1601_C05_021M,6916,int,,,,
S1601,S1601_C06_002E,6916,int,,,,
S1601,S1601_C06_002M,6916,int,,,,
S1601,S1601_C06_021E,6916,int,,,,
S1601,S1601_C06_021M,6916,int,,,,
S1701,S1701_C02_038E,6916,int,,,,
S1701,S1701_C02_038M,6916,int,,,,
S1701,S1701_C02_039E,6916,int,,,,
S1701,S1701_C02_039M,6916,int,,,,
S1701,S1701_C02_040E,6916,int,,,,
S1701,S1701_C02_040M,6916,int,,,,
S1701,S1701_C02_041E,6916,int,,,,
S1701,S1701_C02_041M,6916,int,,,,
S1701,S1701_C02_042E,6916,int,,,,
S1701,S1701_C02_042M,6916,int,,,,
S1701,S1701_C02_043E,6916,int,,,,
S1701,S1701_C02_043M,6916,int,,,,
S1701,S1701_C02_044E,6916,int,,,,
S1701,S1701_C02_044M,6916,int,,,,
S1701,S1701_C02_045E,6916,int,,,,
S1701,S1701_C02_045M,6916,int,,,,
S1701,S1701_C02_058E,6916,int,,,,
S1701,S1701_C02_058M,6916,int,,,,
S1701,S1701_C03_058E,6916,int,,,,
S1701,S1701_C03_058M,6916,int,,,,
S1702,S1702_C02_040E,6916,int,,,,
S1702,S1702_C02_040M,6916,int,,,,
S1702,S1702_C02_043E,6916,int,,,,
S1702,S1702_C02_043M,6916,int,,,,
S1702,S1702_C02_044E,6916,int,,,,
S1702,S1702_C02_044M,6916,int,,,,
S1702,S1702_C02_045E,6916,int,,,,
S1702,S1702_C02_045M,6916,int,,,,
S1702,S1702_C02_046E,6916,int,,,,
S1702,S1702_C02_046M,6916,int,,,,
S1702,S1702_C02_047E,6916,int,,,,
S1702,S1702_C02_047M,6916,int,,,,
S1702,S1702_C02_048E,6916,int,,,,
S1702,S1702_C02_048M,6916,int,,,,
S1702,S1702_C02_049E,6916,int,,,,
S1702,S1702_C02_049M,6916,int,,,,
S1702,S1702_C02_050E,6916,int,,,,
S1702,S1702_C02_050M,6916,int,,,,
S1702,S1702_C03_043E,6916,int,,,,
S1702,S1702_C03_043M,6916,int,,,,
S1702,S1702_C03_044E,6916,int,,,,
S1702,S1702_C03_044M,6916,int,,,,
S1702,S1702_C03_045E,6916,int,,,,
S1702,S1702_C03_045M,6916,int,,,,
S1702,S1702_C03_046E,6916,int,,,,
S1702,S1702_C03_046M,6916,int,,,,
S1702,S1702_C03_047E,6916,int,,,,
S1702,S1702_C03_047M,6916,int,,,,
S1702,S1702_C03_048E,6916,int,,,,
S1702,S1702_C03_048M,6916,int,,,,
S1702,S1702_C03_049E,6916,int,,,,
S1702,S1702_C03_049M,6916,int,,,,
S1702,S1702_C03_050E,6916,int,,,,
S1702,S1702_C03_050M,6916,int,,,,
S1702,S1702_C04_040E,6916,int,,,,
S1702,S1702_C04_040M,6916,int,,,,
S1702,S1702_C04_043E,6916,int,,,,
S1702,S1702_C04_043M,6916,int,,,,
S1702,S1702_C04_044E,6916,int,,,,
S1702,S1702_C04_044M,6916,int,,,,
S1702,S1702_C04_045E,6916,int,,,,
S1702,S1702_C04_045M,6916,int,,,,
S1702,S1702_C04_046E,6916,int,,,,
S1702,S1702_C04_046M,6916,int,,,,
S1702,S1702_C04_047E,6916,int,,,,
S1702,S1702_C04_047M,6916,int,,,,
S1702,S1702_C04_048E,6916,int,,,,
S1702,S1702_C04_048M,6916,int,,,,
S1702,S1702_C04_049E,6916,int,,,,
S1702,S1702_C04_049M,6916,int,,,,
S1702,S1702_C04_050E,6916,int,,,,
S1702,S1702_C04_050M,6916,int,,,,
S1702,S1702_C05_043E,6916,int,,,,
S1702,S1702_C05_043M,6916,int,,,,
S1702,S1702_C05_044E,6916,int,,,,
S1702,S1702_C05_044M,6916,int,,,,
S1702,S1702_C05_045E,6916,int,,,,
S1702,S1702_C05_045M,6916,int,,,,
S1702,S1702_C05_046E,6916,int,,,,
S1702,S1702_C05_046M,6916,int,,,,
S1702,S1702_C05_047E,6916,int,,,,
S1702,S1702_C05_047M,6916,int,,,,
S1702,S1702_C05_048E,6916,int,,,,
S1702,S1702_C05_048M,6916,int,,,,
S1702,S1702_C05_049E,6916,int,,,,
S1702,S1702_C05_049M,6916,int,,,,
S1702,S1702_C05_050E,6916,int,,,,
S1702,S1702_C05_050M,6916,int,,,,
S1702,S1702_C06_040E,6916,int,,,,
S1702,S1702_C06_040M,6916,int,,,,
S1702,S1702_C06_043E,6916,int,,,,
S1702,S1702_C06_043M,6916,int,,,,
S1702,S1702_C06_044E,6916,int,,,,
S1702,S1702_C06_044M,6916,int,,,,
S1702,S1702_C06_045E,6916,int,,,,
S1702,S1702_C06_045M,6916,int,,,,
S1702,S1702_C06_046E,6916,int,,,,
S1702,S1702_C06_046M,6916,int,,,,
S1702,S1702_C06_047E,6916,int,,,,
S1702,S1702_C06_047M,6916,int,,,,
S1702,S1702_C06_048E,6916,int,,,,
S1702,S1702_C06_048M,6916,int,,,,
S1702,S1702_C06_049E,6916,int,,,,
S1702,S1702_C06_049M,6916,int,,,,
S1702,S1702_C06_050E,6916,int,,,,
S1702,S1702_C06_050M,6916,int,,,,
S1810,S1810_C01_019E,6916,int,,,,
S1810,S1810_C01_019M,6916,int,,,,
S1810,S1810_C01_029E,6916,int,,,,
S1810,S1810_C01_029M,6916,int,,,,
S1810,S1810_C01_039E,6916,int,,,,
S1810,S1810_C01_039M,6916,int,,,,
S1810,S1810_C01_047E,6916,int,,,,
S1810,S1810_C01_047M,6916,int,,,,
S1810,S1810_C01_055E,6916,int,,,,
S1810,S1810_C01_055M,6916,int,,,,
S1810,S1810_C01_063E,6916,int,,,,
S1810,S1810_C01_063M,6916,int,,,,
S1901,S1901_C01_014M,6916,float,,,,
S1901,S1901_C01_015E,6916,int,,,,
S1901,S1901_C01_015M,6916,int,,,,
S1901,S1901_C01_016E,6916,int,,,,
S1901,S1901_C01_016M,6916,int,,,,
S1901,S1901_C02_014E,6916,int,,,,
S1901,S1901_C02_014M,6916,int,,,,
S1901,S1901_C02_015M,6916,float,,,,
S1901,S1901_C02_016E,6916,int,,,,
S1901,S1901_C02_016M,6916,int,,,,
S1901,S1901_C03_014E,6916,int,,,,
S1901,S1901_C03_014M,6916,int,,,,
S1901,S1901_C03_015E,6916,int,,,,
S1901,S1901_C03_015M,6916,int,,,,
S1901,S1901_C03_016E,6916,int,,,,
S1901,S1901_C03_016M,6916,int,,,,
S1901,S1901_C04_014E,6916,int,,,,
S1901,S1901_C04_014M,6916,int,,,,
S1901,S1901_C04_015E,6916,int,,,,
S1901,S1901_C04_015M,6916,int,,,,
S1901,S1901_C04_016M,6916,float,,,,
S2101,S2101_C01_002E,6916,int,,,,
S2101,S2101_C01_002M,6916,int,,,,
S2101,S2101_C01_003E,6916,int,,,,
S2101,S2101_C01_003M,6916,int,,,,
S2101,S2101_C01_004E,6916,int,,,,
S2101,S2101_C01_004M,6916,int,,,,
S2101,S2101_C01_005E,6916,int,,,,
S2101,S2101_C01_005M,6916,int,,,,
S2101,S2101_C01_006E,6916,int,,,,
S2101,S2101_C01_006M,6916,int,,,,
S2101,S2101_C01_024E,6916,int,,,,
S2101,S2101_C01_024M,6916,int,,,,
S2101,S2101_C01_025E,6916,int,,,,
S2101,S2101_C01_025M,6916,int,,,,
S2101,S2101_C01_032E,6916,int,,,,
S2101,S2101_C01_032M,6916,int,,,,
S2101,S2101_C01_034E,6916,int,,,,
S2101,S2101_C01_034M,6916,int,,,,
S2101,S2101_C02_002E,6916,int,,,,
S2101,S2101_C02_002M,6916,int,,,,
S2101,S2101_C02_003E,6916,int,,,,
S2101,S2101_C02_003M,6916,int,,,,
S2101,S2101_C02_004E,6916,int,,,,
S2101,S2101_C02_004M,6916,int,,,,
S2101,S2101_C02_005E,6916,int,,,,
S2101,S2101_C02_005M,6916,int,,,,
S2101,S2101_C02_006E,6916,int,,,,
S2101,S2101_C02_006M,6916,int,,,,
S2101,S2101_C02_023E,6916,int,,,,
S2101,S2101_C02_023M,6916,int,,,,
S2101,S2101_C02_024E,6916,int,,,,
S2101,S2101_C02_024M,6916,int,,,,
S2101,S2101_C02_025E,6916,int,,,,
S2101,S2101_C02_025M,6916,int,,,,
S2101,S2101_C02_026E,6916,int,,,,
S2101,S2101_C02_026M,6916,int,,,,
S2101,S2101_C02_031E,6916,int,,,,
S2101,S2101_C02_031M,6916,int,,,,
S2101,S2101_C02_033E,6916,int,,,,
S2101,S2101_C02_033M,6916,int,,,,
S2101,S2101_C02_035E,6916,int,,,,
S2101,S2101_C02_035M,6916,int,,,,
S2101,S2101_C02_038E,6916,int,,,,
S2101,S2101_C02_038M,6916,int,,,,
S2101,S2101_C03_032E,6916,int,,,,
S2101,S2101_C03_032M,6916,int,,,,
S2101,S2101_C03_034E,6916,int,,,,
S2101,S2101_C03_034M,6916,int,,,,
S2101,S2101_C04_023E,6916,int,,,,
S2101,S2101_C04_023M,6916,int,,,,
S2101,S2101_C04_024E,6916,int,,,,
S2101,S2101_C04_024M,6916,int,,,,
S2101,S2101_C04_025E,6916,int,,,,
S2101,S2101_C04_025M,6916,int,,,,
S2101,S2101_C04_026E,6916,int,,,,
S2101,S2101_C04_026M,6916,int,,,,
S2101,S2101_C04_031E,6916,int,,,,
S2101,S2101_C04_031M,6916,int,,,,
S2101,S2101_C04_033E,6916,int,,,,
S2101,S2101_C04_033M,6916,int,,,,
S2101,S2101_C04_035E,6916,int,,,,
S2101,S2101_C04_035M,6916,int,,,,
S2101,S2101_C04_038E,6916,int,,,,
S2101,S2101_C04_038M,6916,int,,,,
S2101,S2101_C05_002E,6916,int,,,,
S2101,S2101_C05_002M,6916,int,,,,
S2101,S2101_C05_003E,6916,int,,,,
S2101,S2101_C05_003M,6916,int,,,,
S2101,S2101_C05_004E,6916,int,,,,
S2101,S2101_C05_004M,6916,int,,,,
S2101,S2101_C05_005E,6916,int,,,,
S2101,S2101_C05_005M,6916,int,,,,
S2101,S2101_C05_006E,6916,int,,,,
S2101,S2101_C05_006M,6916,int,,,,
S2101,S2101_C05_032E,6916,int,,,,
S2101,S2101_C05_032M,6916,int,,,,
S2101,S2101_C05_034E,6916,int,,,,
S2101,S2101_C05_034M,6916,int,,,,
S2101,S2101_C06_002E,6916,int,,,,
S2101,S2101_C06_002M,6916,int,,,,
S2101,S2101_C06_003E,6916,int,,,,
S2101,S2101_C06_003M,6916,int,,,,
S2101,S2101_C06_004E,6916,int,,,,
S2101,S2101_C06_004M,6916,int,,,,
S2101,S2101_C06_005E,6916,int,,,,
S2101,S2101_C06_005M,6916,int,,,,
S2101,S2101_C06_006E,6916,int,,,,
S2101,S2101_C06_006M,6916,int,,,,
S2101,S2101_C06_023E,6916,int,,,,
S2101,S2101_C06_023M,6916,int,,,,
S2101,S2101_C06_024E,6916,int,,,,
S2101,S2101_C06_024M,6916,int,,,,
S2101,S2101_C06_025E,6916,int,,,,
S2101,S2101_C06_025M,6916,int,,,,
S2101,S2101_C06_026E,6916,int,,,,
S2101,S2101_C06_026M,6916,int,,,,
S2101,S2101_C06_031E,6916,int,,,,
S2101,S2101_C06_031M,6916,int,,,,
S2101,S2101_C06_033E,6916,int,,,,
S2101,S2101_C06_033M,6916,int,,,,
S2101,S2101_C06_035E,6916,int,,,,
S2101,S2101_C06_035M,6916,int,,,,
S2101,S2101_C06_038E,6916,int,,,,
S2101,S2101_C06_038M,6916,int,,,,
S2201,S2201_C02_034E,6916,int,,,,
S2201,S2201_C02_034M,6916,int,,,,
S2201,S2201_C04_034E,6916,int,,,,
S2201,S2201_C04_034M,6916,int,,,,
S2201,S2201_C06_034E,6916,int,,,,
S2201,S2201_C06_034M,6916,int,,,,
S2405,S2405_C01_015M,6916,float,,,,
S2405,S2405_C02_015E,6916,int,,,,
S2405,S2405_C02_015M,6916,int,,,,
S2405,S2405_C03_015E,6916,int,,,,
S2405,S2405_C03_015M,6916,int,,,,
S2405,S2405_C04_015E,6916,int,,,,
S2405,S2405_C04_015M,6916,int,,,,
S2405,S2405_C05_015E,6916,int,,,,
S2405,S2405_C05_015M,6916,int,,,,
S2405,S2405_C06_015E,6916,int,,,,
S2405,S2405_C06_015M,6916,int,,,,
S2406,S2406_C01_007M,6916,float,,,,
S2406,S2406_C02_007E,6916,int,,,,
S2406,S2406_C02_007M,6916,int,,,,
S2406,S2406_C03_007E,6916,int,,,,
S2406,S2406_C03_007M,6916,int,,,,
S2406,S2406_C04_007E,6916,int,,,,
S2406,S2406_C04_007M,6916,int,,,,
S2406,S2406_C05_007E,6916,int,,,,
S2406,S2406_C05_007M,6916,int,,,,
S2406,S2406_C06_007E,6916,int,,,,
S2406,S2406_C06_007M,6916,int,,,,
S2407,S2407_C01_015M,6916,float,,,,
S2407,S2407_C02_015E,6916,int,,,,
S2407,S2407_C02_015M,6916,int,,,,
S2407,S2407_C03_015E,6916,int,,,,
S2407,S2407_C03_015M,6916,int,,,,
S2407,S2407_C04_015E,6916,int,,,,
S2407,S2407_C04_015M,6916,int,,,,
S2407,S2407_C05_015E,6916,int,,,,
S2407,S2407_C05_015M,6916,int,,,,
S2407,S2407_C06_015E,6916,int,,,,
S2407,S2407_C06_015M,6916,int,,,,
S2703,S2703_C01_002E,6916,int,,,,
S2703,S2703_C01_002M,6916,int,,,,
S2703,S2703_C01_003E,6916,int,,,,
S2703,S2703_C01_003M,6916,int,,,,
S2703,S2703_C01_004E,6916,int,,,,
S2703,S2703_C01_004M,6916,int,,,,
S2703,S2703_C01_005E,6916,int,,,,
S2703,S2703_C01_005M,6916,int,,,,
S2704,S2704_C01_002E,6916,int,,,,
S2704,S2704_C01_002M,6916,int,,,,
S2704,S2704_C01_003E,6916,int,,,,
S2704,S2704_C01_003M,6916,int,,,,
S2704,S2704_C01_004E,6916,int,,,,
S2704,S2704_C01_004M,6916,int,,,,
S2704,S2704_C01_005E,6916,int,,,,
S2704,S2704_C01_005M,6916,int,,,,
S2414,S2414_C04_018E,6882,float,,,,
S2414,S2414_C04_018M,6882,float,,,,
S2414,S2414_C04_004E,6869,float,,,,
S2414,S2414_C04_004M,6869,float,,,,
S2413,S2413_C04_004E,6862,float,,,,
S2413,S2413_C04_004M,6862,float,,,,
S2413,S2413_C04_018E,6857,float,,,,
S2413,S2413_C04_018M,6857,float,,,,
S2414,S2414_C03_004E,6857,int,,,,
S2414,S2414_C03_004M,6857,int,,,,
S2413,S2413_C03_004E,6844,int,,,,
S2413,S2413_C03_004M,6844,int,,,,
S2414,S2414_C03_018M,6662,int,,,,
S2414,S2414_C02_018M,6659,int,,,,
S2414,S2414_C03_018E,6658,int,,,,
S2414,S2414_C02_018E,6614,int,,,,
S2413,S2413_C02_018M,6563,int,,,,
S2413,S2413_C03_018M,6539,int,,,,
S2413,S2413_C03_018E,6532,int,,,,
S2412,S2412_C03_031M,6513,int,,,,
S2412,S2412_C04_031E,6513,float,,,,
S2412,S2412_C04_031M,6513,float,,,,
S2413,S2413_C02_018E,6513,int,,,,
S2412,S2412_C03_031E,6511,int,,,,
S2412,S2412_C04_032E,6398,float,,,,
S2412,S2412_C04_032M,6398,float,,,,
S2412,S2412_C03_032E,6395,int,,,,
S2412,S2412_C03_032M,6395,int,,,,
S2414,S2414_C02_004M,6377,int,,,,
S2414,S2414_C02_004E,6367,int,,,,
S1301,S1301_C05_010E,6287,float,,,,
S1301,S1301_C05_010M,6287,float,,,,
S2413,S2413_C02_004M,6265,int,,,,
S2413,S2413_C02_004E,6254,int,,,,
S2412,S2412_C04_030E,6229,float,,,,
S2412,S2412_C04_030M,6229,float,,,,
S2414,S2414_C01_004M,6225,int,,,,
S2414,S2414_C01_004E,6217,int,,,,
S2412,S2412_C03_030E,6148,int,,,,
S2412,S2412_C03_030M,6148,int,,,,
S2413,S2413_C01_004M,6062,int,,,,
S2411,S2411_C03_032M,6060,int,,,,
S2411,S2411_C04_032E,6060,float,,,,
S2411,S2411_C04_032M,6060,float,,,,
S2413,S2413_C01_004E,6054,int,,,,
S2411,S2411_C03_032E,6044,int,,,,
S2411,S2411_C03_031M,6005,int,,,,
